Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;419;0;0;2020/25/03
Antrona Schieranco;103001;419;0;0;2020/26/03
Antrona Schieranco;103001;419;0;0;2020/27/03
Antrona Schieranco;103001;419;0;0;2020/28/03
Antrona Schieranco;103001;419;0;0;2020/29/03
Antrona Schieranco;103001;419;0;0;2020/30/03
Antrona Schieranco;103001;419;0;0;2020/31/03
Antrona Schieranco;103001;419;0;0;2020/01/04
Antrona Schieranco;103001;419;3;7.159999847412109;2020/02/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/03/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/04/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/05/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/06/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/07/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/08/04
Antrona Schieranco;103001;419;5;11.932999610900879;2020/09/04
Anzola d'Ossola;103002;407;0;0;2020/25/03
Anzola d'Ossola;103002;407;0;0;2020/26/03
Anzola d'Ossola;103002;407;0;0;2020/27/03
Anzola d'Ossola;103002;407;0;0;2020/28/03
Anzola d'Ossola;103002;407;0;0;2020/29/03
Anzola d'Ossola;103002;407;0;0;2020/30/03
Anzola d'Ossola;103002;407;0;0;2020/31/03
Anzola d'Ossola;103002;407;0;0;2020/01/04
Anzola d'Ossola;103002;407;0;0;2020/02/04
Anzola d'Ossola;103002;407;0;0;2020/03/04
Anzola d'Ossola;103002;407;0;0;2020/04/04
Anzola d'Ossola;103002;407;0;0;2020/05/04
Anzola d'Ossola;103002;407;1;2.4570000171661377;2020/06/04
Anzola d'Ossola;103002;407;1;2.4570000171661377;2020/07/04
Anzola d'Ossola;103002;407;1;2.4570000171661377;2020/08/04
Anzola d'Ossola;103002;407;1;2.4570000171661377;2020/09/04
Arizzano;103003;2012;3;1.4910000562667847;2020/25/03
Arizzano;103003;2012;3;1.4910000562667847;2020/26/03
Arizzano;103003;2012;3;1.4910000562667847;2020/27/03
Arizzano;103003;2012;4;1.9880000352859497;2020/28/03
Arizzano;103003;2012;4;1.9880000352859497;2020/29/03
Arizzano;103003;2012;9;4.4730000495910645;2020/30/03
Arizzano;103003;2012;9;4.4730000495910645;2020/31/03
Arizzano;103003;2012;9;4.4730000495910645;2020/01/04
Arizzano;103003;2012;9;4.4730000495910645;2020/02/04
Arizzano;103003;2012;9;4.4730000495910645;2020/03/04
Arizzano;103003;2012;9;4.4730000495910645;2020/04/04
Arizzano;103003;2012;10;4.96999979019165;2020/05/04
Arizzano;103003;2012;10;4.96999979019165;2020/06/04
Arizzano;103003;2012;10;4.96999979019165;2020/07/04
Arizzano;103003;2012;10;4.96999979019165;2020/08/04
Arizzano;103003;2012;10;4.96999979019165;2020/09/04
Arola;103004;243;1;4.114999771118164;2020/25/03
Arola;103004;243;1;4.114999771118164;2020/26/03
Arola;103004;243;1;4.114999771118164;2020/27/03
Arola;103004;243;1;4.114999771118164;2020/28/03
Arola;103004;243;1;4.114999771118164;2020/29/03
Arola;103004;243;1;4.114999771118164;2020/30/03
Arola;103004;243;1;4.114999771118164;2020/31/03
Arola;103004;243;1;4.114999771118164;2020/01/04
Arola;103004;243;1;4.114999771118164;2020/02/04
Arola;103004;243;1;4.114999771118164;2020/03/04
Arola;103004;243;1;4.114999771118164;2020/04/04
Arola;103004;243;1;4.114999771118164;2020/05/04
Arola;103004;243;1;4.114999771118164;2020/06/04
Arola;103004;243;1;4.114999771118164;2020/07/04
Arola;103004;243;1;4.114999771118164;2020/08/04
Arola;103004;243;1;4.114999771118164;2020/09/04
Aurano;103005;103;0;0;2020/25/03
Aurano;103005;103;0;0;2020/26/03
Aurano;103005;103;0;0;2020/27/03
Aurano;103005;103;0;0;2020/28/03
Aurano;103005;103;0;0;2020/29/03
Aurano;103005;103;0;0;2020/30/03
Aurano;103005;103;0;0;2020/31/03
Aurano;103005;103;0;0;2020/01/04
Aurano;103005;103;0;0;2020/02/04
Aurano;103005;103;1;9.708999633789062;2020/03/04
Aurano;103005;103;1;9.708999633789062;2020/04/04
Aurano;103005;103;1;9.708999633789062;2020/05/04
Aurano;103005;103;1;9.708999633789062;2020/06/04
Aurano;103005;103;1;9.708999633789062;2020/07/04
Aurano;103005;103;1;9.708999633789062;2020/08/04
Aurano;103005;103;1;9.708999633789062;2020/09/04
Baceno;103006;897;0;0;2020/25/03
Baceno;103006;897;0;0;2020/26/03
Baceno;103006;897;0;0;2020/27/03
Baceno;103006;897;0;0;2020/28/03
Baceno;103006;897;0;0;2020/29/03
Baceno;103006;897;0;0;2020/30/03
Baceno;103006;897;0;0;2020/31/03
Baceno;103006;897;0;0;2020/01/04
Baceno;103006;897;0;0;2020/02/04
Baceno;103006;897;0;0;2020/03/04
Baceno;103006;897;0;0;2020/04/04
Baceno;103006;897;0;0;2020/05/04
Baceno;103006;897;0;0;2020/06/04
Baceno;103006;897;0;0;2020/07/04
Baceno;103006;897;0;0;2020/08/04
Baceno;103006;897;0;0;2020/09/04
Bannio Anzino;103007;478;0;0;2020/25/03
Bannio Anzino;103007;478;0;0;2020/26/03
Bannio Anzino;103007;478;0;0;2020/27/03
Bannio Anzino;103007;478;0;0;2020/28/03
Bannio Anzino;103007;478;0;0;2020/29/03
Bannio Anzino;103007;478;0;0;2020/30/03
Bannio Anzino;103007;478;0;0;2020/31/03
Bannio Anzino;103007;478;0;0;2020/01/04
Bannio Anzino;103007;478;0;0;2020/02/04
Bannio Anzino;103007;478;0;0;2020/03/04
Bannio Anzino;103007;478;0;0;2020/04/04
Bannio Anzino;103007;478;0;0;2020/05/04
Bannio Anzino;103007;478;0;0;2020/06/04
Bannio Anzino;103007;478;0;0;2020/07/04
Bannio Anzino;103007;478;0;0;2020/08/04
Bannio Anzino;103007;478;1;2.0920000076293945;2020/09/04
Baveno;103008;4919;5;1.0160000324249268;2020/25/03
Baveno;103008;4919;5;1.0160000324249268;2020/26/03
Baveno;103008;4919;7;1.4229999780654907;2020/27/03
Baveno;103008;4919;7;1.4229999780654907;2020/28/03
Baveno;103008;4919;7;1.4229999780654907;2020/29/03
Baveno;103008;4919;7;1.4229999780654907;2020/30/03
Baveno;103008;4919;7;1.4229999780654907;2020/31/03
Baveno;103008;4919;7;1.4229999780654907;2020/01/04
Baveno;103008;4919;8;1.6260000467300415;2020/02/04
Baveno;103008;4919;9;1.8300000429153442;2020/03/04
Baveno;103008;4919;9;1.8300000429153442;2020/04/04
Baveno;103008;4919;9;1.8300000429153442;2020/05/04
Baveno;103008;4919;10;2.0329999923706055;2020/06/04
Baveno;103008;4919;10;2.0329999923706055;2020/07/04
Baveno;103008;4919;11;2.2360000610351562;2020/08/04
Baveno;103008;4919;11;2.2360000610351562;2020/09/04
Bee;103009;755;0;0;2020/25/03
Bee;103009;755;0;0;2020/26/03
Bee;103009;755;0;0;2020/27/03
Bee;103009;755;0;0;2020/28/03
Bee;103009;755;0;0;2020/29/03
Bee;103009;755;0;0;2020/30/03
Bee;103009;755;1;1.3250000476837158;2020/31/03
Bee;103009;755;1;1.3250000476837158;2020/01/04
Bee;103009;755;2;2.6489999294281006;2020/02/04
Bee;103009;755;1;1.3250000476837158;2020/03/04
Bee;103009;755;1;1.3250000476837158;2020/04/04
Bee;103009;755;1;1.3250000476837158;2020/05/04
Bee;103009;755;1;1.3250000476837158;2020/06/04
Bee;103009;755;2;2.6489999294281006;2020/07/04
Bee;103009;755;2;2.6489999294281006;2020/08/04
Bee;103009;755;2;2.6489999294281006;2020/09/04
Belgirate;103010;503;0;0;2020/25/03
Belgirate;103010;503;0;0;2020/26/03
Belgirate;103010;503;0;0;2020/27/03
Belgirate;103010;503;0;0;2020/28/03
Belgirate;103010;503;0;0;2020/29/03
Belgirate;103010;503;0;0;2020/30/03
Belgirate;103010;503;0;0;2020/31/03
Belgirate;103010;503;1;1.9880000352859497;2020/01/04
Belgirate;103010;503;1;1.9880000352859497;2020/02/04
Belgirate;103010;503;1;1.9880000352859497;2020/03/04
Belgirate;103010;503;4;7.952000141143799;2020/04/04
